"NAME","DESCRIPTION","GENE_SYMBOL","GENE_TITLE","SCORE"
"SELPLG","na","null","null",-0.9671234
"NOD1","na","null","null",-0.9667692
"CASP1","na","null","null",-0.9651906
"NBPF18P","na","null","null",-0.9650327
"BAMBI","na","null","null",-0.9648089
"SCAMP1-AS1","na","null","null",-0.9642254
"ABCD1","na","null","null",-0.96398145
"IFI30","na","null","null",-0.9638902
"PANX1","na","null","null",-0.96375805
"ACER2","na","null","null",-0.9631788
"SEPT4","na","null","null",-0.9617819
"SYNPO2L","na","null","null",-0.96109104
"IRAK2","na","null","null",-0.96093804
"PSMB10","na","null","null",-0.9607041
"CDKN1A","na","null","null",-0.96005577
"BOC","na","null","null",-0.9593384
"FYB1","na","null","null",-0.9593194
"IL10RA","na","null","null",-0.9592527
"SLC44A4","na","null","null",-0.95907015
"TTLL11","na","null","null",-0.959026
"CCL22","na","null","null",-0.9588258
"PRR5L","na","null","null",-0.9579743
"ZBTB43","na","null","null",-0.9577584
"FA2H","na","null","null",-0.95722944
"ZNF878","na","null","null",-0.95686996
"PHF11","na","null","null",-0.95643944
"HIST2H2AA4","na","null","null",-0.9563555
"NOD2","na","null","null",-0.95603764
"DDX60","na","null","null",-0.9557795
"WNT4","na","null","null",-0.95424247
"PGLYRP3","na","null","null",-0.9541101
"TNFAIP3","na","null","null",-0.9539321
"GBP4","na","null","null",-0.95378476
"CNIH3","na","null","null",-0.9530712
"ZBTB32","na","null","null",-0.952572
"SDC4","na","null","null",-0.9521397
"RASEF","na","null","null",-0.9514109
"HS3ST1","na","null","null",-0.9513819
"DXO","na","null","null",-0.9512472
"HLA-DOB","na","null","null",-0.95114493
"IFNB1","na","null","null",-0.949134
"ABHD17B","na","null","null",-0.94863003
"ZFP36L2","na","null","null",-0.9484081
"ADAMTS15","na","null","null",-0.9468567
"LOC101927023","na","null","null",-0.9466007
"GBP5","na","null","null",-0.946443
"NEDD9","na","null","null",-0.9452373
"ZNF844","na","null","null",-0.9448191
"GBP7","na","null","null",-0.94464326
"CCL4","na","null","null",-0.94365335
"CORO6","na","null","null",-0.94360006
"TPRN","na","null","null",-0.94358116
"HIST1H3H","na","null","null",-0.9435048
"DUSP1","na","null","null",-0.9431507
"DNAJB6","na","null","null",-0.94302833
"FBXO32","na","null","null",-0.94229585
"TAPBP","na","null","null",-0.9417569
"EIF2AK2","na","null","null",-0.94164634
"ETV3","na","null","null",-0.94162124
"ILDR1","na","null","null",-0.9407309
"EDN1","na","null","null",-0.9404153
"GALM","na","null","null",-0.9402673
"GRK3","na","null","null",-0.94018805
"PMAIP1","na","null","null",-0.94002444
"WARS","na","null","null",-0.9397804
"FGF2","na","null","null",-0.9396809
"GFPT2","na","null","null",-0.93862796
"CH25H","na","null","null",-0.9384872
"SLC28A3","na","null","null",-0.93812865
"SHISA2","na","null","null",-0.9380217
"SPINDOC","na","null","null",-0.93743706
"RAB24","na","null","null",-0.9369408
"PRSS22","na","null","null",-0.9369236
"LOC730101","na","null","null",-0.93639725
"CRCT1","na","null","null",-0.9360876
"RIPK1","na","null","null",-0.9360091
"BIRC3","na","null","null",-0.93590385
"SLC6A12","na","null","null",-0.93375754
"RAET1L","na","null","null",-0.93281734
"CD200","na","null","null",-0.93216115
"NRG2","na","null","null",-0.931655
"RASSF5","na","null","null",-0.93100023
"TESK2","na","null","null",-0.93059653
"HSPA2","na","null","null",-0.93056405
"SLC30A1","na","null","null",-0.9305534
"SCUBE2","na","null","null",-0.93054366
"IL15","na","null","null",-0.9300593
"BMP2","na","null","null",-0.92987806
"SAT1","na","null","null",-0.9291976
"HIST1H3A","na","null","null",-0.9290766
"IL1RN","na","null","null",-0.928085
"ID2","na","null","null",-0.9278715
"PIK3AP1","na","null","null",-0.9273586
"TMC8","na","null","null",-0.9269016
"RELB","na","null","null",-0.92642766
"SMAD7","na","null","null",-0.9264004
"ST7-AS1","na","null","null",-0.9260745
"TTC39B","na","null","null",-0.9260225
"AVIL","na","null","null",-0.9251023
"ZNF217","na","null","null",-0.92480344
"C20orf96","na","null","null",-0.9242703
"B4GALT5","na","null","null",-0.9242382
"TYW1B","na","null","null",-0.92418957
"CCL20","na","null","null",-0.9241171
"ADAMTS9","na","null","null",-0.92397034
"BCO1","na","null","null",-0.92275363
"ARHGEF34P","na","null","null",-0.9225536
"DISP3","na","null","null",-0.92235607
"NR4A3","na","null","null",-0.9220859
"NPR1","na","null","null",-0.92196065
"RASL11A","na","null","null",-0.9216606
"N4BP1","na","null","null",-0.92156374
"IL1A","na","null","null",-0.92138684
"HLA-H","na","null","null",-0.9205893
"OXTR","na","null","null",-0.9201319
"SPRY4","na","null","null",-0.9197875
"HSD3B7","na","null","null",-0.91944623
"NFKBIA","na","null","null",-0.9193769
"CREB1","na","null","null",-0.9190315
"MPIG6B","na","null","null",-0.9188153
"C1orf68","na","null","null",-0.91778374
"TNFSF10","na","null","null",-0.9168674
"CNKSR3","na","null","null",-0.9167314
"BTN3A1","na","null","null",-0.91639626
"PELI1","na","null","null",-0.91638315
"TBX3","na","null","null",-0.9161558
"GNRHR2","na","null","null",-0.9153418
"CSRNP1","na","null","null",-0.9151243
"ING1","na","null","null",-0.9147895
"TIMP3","na","null","null",-0.9147839
"HSPA1L","na","null","null",-0.9140231
"DDX3X","na","null","null",-0.9137697
"BMF","na","null","null",-0.9129395
"PAK3","na","null","null",-0.9127527
"SEMA3D","na","null","null",-0.91223043
"TGFA","na","null","null",-0.91187745
"SYNJ2","na","null","null",-0.91182154
"CCND3","na","null","null",-0.9115576
"KHDRBS3","na","null","null",-0.9111308
"CD68","na","null","null",-0.9110327
"DUSP2","na","null","null",-0.9107112
"HIVEP2","na","null","null",-0.90967554
"ADM","na","null","null",-0.9084404
"ARSI","na","null","null",-0.908431
"CD70","na","null","null",-0.90840566
"SOD2","na","null","null",-0.90807444
"CXCL3","na","null","null",-0.9080548
"ADCY4","na","null","null",-0.90792894
"CLIC2","na","null","null",-0.9076371
"ANKRD33B","na","null","null",-0.90668166
"MTMR10","na","null","null",-0.9064193
"MAST4","na","null","null",-0.9061876
"TAPBPL","na","null","null",-0.9057998
"RYBP","na","null","null",-0.9052449
"AEBP1","na","null","null",-0.9039193
"KCTD14","na","null","null",-0.90386254
"HES6","na","null","null",-0.90363425
"HCP5","na","null","null",-0.90341985
"FAM102A","na","null","null",-0.90336466
"LCE3E","na","null","null",-0.9026063
"C1orf189","na","null","null",-0.90259707
"TNF","na","null","null",-0.9024009
"ZC3H12A","na","null","null",-0.9020302
"LY6G6C","na","null","null",-0.90175736
"PLAGL2","na","null","null",-0.9016112
"ZNF79","na","null","null",-0.90120006
"PTGS2","na","null","null",-0.9007465
"XYLT1","na","null","null",-0.9004526
"WBP4","na","null","null",-0.9001981
"CLDN4","na","null","null",-0.8998964
"TNXB","na","null","null",-0.8994748
"LINC002481","na","null","null",-0.8990814
"TNFSF9","na","null","null",-0.8985632
"NT5E","na","null","null",-0.89843035
"HIVEP1","na","null","null",-0.89760417
"CD40","na","null","null",-0.8974206
"SEMA3G","na","null","null",-0.8966695
"CXorf38","na","null","null",-0.8965414
"CXCR4","na","null","null",-0.89651245
"DUSP5","na","null","null",-0.89606905
"LINC01647","na","null","null",-0.89507306
"IL6","na","null","null",-0.89502823
"ARHGAP20","na","null","null",-0.89399326
"CPEB3","na","null","null",-0.8933363
"VSTM5","na","null","null",-0.8929143
"DDR2","na","null","null",-0.892319
"BCL2A1","na","null","null",-0.89193904
"IRF9","na","null","null",-0.8910833
"RAPGEF2","na","null","null",-0.89064664
"IFNL2","na","null","null",-0.89042515
"HDX","na","null","null",-0.89031017
"USP43","na","null","null",-0.8898608
"C16orf70","na","null","null",-0.88919854
"RYR2","na","null","null",-0.8890638
"DACT3","na","null","null",-0.88879436
"CALCRL","na","null","null",-0.88808376
"LOC100129291","na","null","null",-0.8878899
"ERVV-2","na","null","null",-0.88786453
"PTGER2","na","null","null",-0.88722646
"HSD11B2","na","null","null",-0.88688445
"HEXDC","na","null","null",-0.88646334
"ENPP1","na","null","null",-0.8863886
"MFSD14A","na","null","null",-0.8862697
"ATF3","na","null","null",-0.885806
"LOC101928605","na","null","null",-0.88524103
"OTUD1","na","null","null",-0.88437146
"SKIDA1","na","null","null",-0.883879
"ZNRF2","na","null","null",-0.8835374
"NR2F1","na","null","null",-0.88340676
"CD55","na","null","null",-0.8823801
"PRR20G","na","null","null",-0.8815863
"TNFAIP2","na","null","null",-0.8809426
"CXCL8","na","null","null",-0.8806429
"KDM2A","na","null","null",-0.8797522
"ZBTB42","na","null","null",-0.8797282
"C6orf222","na","null","null",-0.8795392
"FZD5","na","null","null",-0.87906766
"KDM7A-DT","na","null","null",-0.87901676
"LRRC32","na","null","null",-0.87866366
"GADD45A","na","null","null",-0.87832963
"STK24-AS1","na","null","null",-0.8781859
"RDH10","na","null","null",-0.8780499
"CSAG3","na","null","null",-0.87803763
"HES4","na","null","null",-0.87734777
"BMI1","na","null","null",-0.8772776
"SYNE3","na","null","null",-0.877243
"HS6ST3","na","null","null",-0.87686944
"UBD","na","null","null",-0.87680185
"GAST","na","null","null",-0.87583995
"B2M","na","null","null",-0.8757506
"LSMEM1","na","null","null",-0.87469333
"NUAK2","na","null","null",-0.87465906
"VEGFA","na","null","null",-0.87450576
"SEC1P","na","null","null",-0.87430274
"HIP1R","na","null","null",-0.87415826
"INAFM1","na","null","null",-0.87409294
"NT5C3A","na","null","null",-0.87365735
"SBK1","na","null","null",-0.87329
"TNIP3","na","null","null",-0.8731228
"NOCT","na","null","null",-0.87270087
"SOX30","na","null","null",-0.8724794
"GAD1","na","null","null",-0.87233555
"IGFBP3","na","null","null",-0.8721011
"IDO2","na","null","null",-0.8720358
"HIST2H2BF","na","null","null",-0.871398
"ASCL2","na","null","null",-0.8708825
"ENC1","na","null","null",-0.8707909
"ZNF669","na","null","null",-0.870695
"SAMD9L","na","null","null",-0.8706018
"CDC42EP3","na","null","null",-0.8704616
"CYP21A2","na","null","null",-0.8702904
"CD83","na","null","null",-0.86975926
"WHAMM","na","null","null",-0.8697345
"IFNAR2","na","null","null",-0.8696484
"CHGA","na","null","null",-0.8689156
"C2CD4A","na","null","null",-0.86889106
"PLPP3","na","null","null",-0.86740196
"KIAA1217","na","null","null",-0.8672431
"ANTXR2","na","null","null",-0.86691505
