"NAME","DESCRIPTION","GENE_SYMBOL","GENE_TITLE","SCORE"
"HERC6","na","null","null",-1.8167192
"GBP1P1","na","null","null",-1.8143345
"ETV6","na","null","null",-1.812234
"COL15A1","na","null","null",-1.807091
"ETV7","na","null","null",-1.8033642
"TMEM191B","na","null","null",-1.8028018
"TENT5A","na","null","null",-1.8026162
"ART3","na","null","null",-1.8025544
"ULBP3","na","null","null",-1.7999879
"FBXO39","na","null","null",-1.7985685
"IL16","na","null","null",-1.7973851
"SHISA2","na","null","null",-1.7953991
"CADM1","na","null","null",-1.7950284
"LINC00673","na","null","null",-1.7929764
"SAR1A","na","null","null",-1.792936
"RORB","na","null","null",-1.7923186
"ITPRIP","na","null","null",-1.7892863
"LGMN","na","null","null",-1.7891792
"BPGM","na","null","null",-1.787025
"MX2","na","null","null",-1.786954
"PRRG4","na","null","null",-1.7798188
"ZCCHC24","na","null","null",-1.7788709
"SLC7A2","na","null","null",-1.778043
"TLE4","na","null","null",-1.776064
"CYP2J2","na","null","null",-1.7741486
"GLCCI1","na","null","null",-1.773731
"EGR3","na","null","null",-1.7734611
"NPTX1","na","null","null",-1.7730439
"NR5A2","na","null","null",-1.7725039
"ITGA10","na","null","null",-1.7715054
"QKI","na","null","null",-1.7703782
"CASP10","na","null","null",-1.7690597
"B4GALT5","na","null","null",-1.7685262
"CCL3","na","null","null",-1.7682472
"NEDD1","na","null","null",-1.7663072
"KALRN","na","null","null",-1.7655619
"KLF5","na","null","null",-1.7647771
"SOAT2","na","null","null",-1.7631699
"SPECC1L-ADORA2A","na","null","null",-1.762498
"THAP2","na","null","null",-1.7607195
"DISP3","na","null","null",-1.7574309
"IL4I1","na","null","null",-1.7567701
"HDX","na","null","null",-1.7567207
"BCL2L11","na","null","null",-1.7538394
"MAP4K4","na","null","null",-1.7481505
"PANX1","na","null","null",-1.747168
"EPC2","na","null","null",-1.7471523
"ETS2","na","null","null",-1.7461917
"GABPB1","na","null","null",-1.7458242
"DUOX2","na","null","null",-1.7413118
"MSX2","na","null","null",-1.7382946
"XAF1","na","null","null",-1.7373483
"IFIT1","na","null","null",-1.7350496
"EFCAB5","na","null","null",-1.7342458
"IRF2","na","null","null",-1.7335716
"KIAA0040","na","null","null",-1.7333895
"RNF24","na","null","null",-1.733207
"TRAF3IP2","na","null","null",-1.7319996
"ZBP1","na","null","null",-1.7282665
"SLC39A8","na","null","null",-1.7219461
"GK","na","null","null",-1.7189687
"BMF","na","null","null",-1.716261
"SAMHD1","na","null","null",-1.7154326
"KLF4","na","null","null",-1.7118163
"DXO","na","null","null",-1.7103608
"PSMB9","na","null","null",-1.7102765
"LINC01537","na","null","null",-1.7074865
"CD55","na","null","null",-1.7051219
"HIST2H2BA","na","null","null",-1.7032566
"CD7","na","null","null",-1.6990396
"LFNG","na","null","null",-1.6975456
"IFNGR2","na","null","null",-1.6973895
"RASSF5","na","null","null",-1.6970477
"STK17B","na","null","null",-1.6967242
"GBP7","na","null","null",-1.6957101
"RFPL1","na","null","null",-1.6949122
"ARHGAP25","na","null","null",-1.6930492
"DHRS2","na","null","null",-1.691809
"SLC9B1","na","null","null",-1.6901257
"C6orf62","na","null","null",-1.6896919
"CSRNP1","na","null","null",-1.6883256
"NOCT","na","null","null",-1.6880021
"CACHD1","na","null","null",-1.6878803
"SPRY4","na","null","null",-1.6867799
"HIST1H2BJ","na","null","null",-1.6859477
"TNFAIP8","na","null","null",-1.6848274
"APOL3","na","null","null",-1.6831717
"CALCRL","na","null","null",-1.6805421
"ZNF860","na","null","null",-1.6787062
"POU5F1","na","null","null",-1.6765295
"TAAR3P","na","null","null",-1.6758007
"FRMD7","na","null","null",-1.6744868
"PRR15","na","null","null",-1.6721065
"TTC39B","na","null","null",-1.672026
"SRSF7","na","null","null",-1.6687642
"FAM241A","na","null","null",-1.6678245
"NR4A1","na","null","null",-1.6668009
"EREG","na","null","null",-1.6657546
"PLAUR","na","null","null",-1.66414
"FZD7","na","null","null",-1.6638004
"C6orf222","na","null","null",-1.6602805
"C15orf48","na","null","null",-1.6583254
"NOS2","na","null","null",-1.6570982
"SYNPO2","na","null","null",-1.654987
"MED13","na","null","null",-1.6545146
"GRB10","na","null","null",-1.6521778
"DMRTA2","na","null","null",-1.6504171
"SOX8","na","null","null",-1.6497905
"FAM129A","na","null","null",-1.6480367
"CFAP45","na","null","null",-1.6464542
"KIAA1109","na","null","null",-1.6462655
"HMGN5","na","null","null",-1.6462617
"SULT1C2","na","null","null",-1.6455104
"PINLYP","na","null","null",-1.6439816
"LRP1B","na","null","null",-1.6436875
"OLR1","na","null","null",-1.6431295
"HSPB8","na","null","null",-1.6412873
"TNFRSF8","na","null","null",-1.6404272
"HCG4","na","null","null",-1.6400557
"ING3","na","null","null",-1.6394122
"ABI3BP","na","null","null",-1.638512
"JAK2","na","null","null",-1.6349251
"LOC101928336","na","null","null",-1.6335894
"PARP14","na","null","null",-1.6283305
"MORC3","na","null","null",-1.6232086
"PAXIP1-AS1","na","null","null",-1.6198469
"PIK3R1","na","null","null",-1.6181996
"ZNF124","na","null","null",-1.613894
"FNBP4","na","null","null",-1.612219
"ALDH6A1","na","null","null",-1.6113732
"LINC01126","na","null","null",-1.6099273
"PPP1R15B","na","null","null",-1.6093075
"PPP4R4","na","null","null",-1.6086046
"DSTNP2","na","null","null",-1.6082023
"TRAFD1","na","null","null",-1.6077664
"RAB9A","na","null","null",-1.6059893
"ACOD1","na","null","null",-1.6048322
"RP2","na","null","null",-1.6024296
"C19orf12","na","null","null",-1.6024092
"RASGEF1B","na","null","null",-1.6013705
"LRAT","na","null","null",-1.6002418
"PCBP1","na","null","null",-1.598382
